strategy,model,timestamp,task_id,status,pass_1st_round,rounds_to_pass,total_rounds,failed_test
baseline,deepseek-coder:1.3b,20260725T114302Z,419,fail_assert,False,,1,"assert round_and_sum([22.4, 4.0, -16.22, -9.10, 11.00, -12.22, 14.20, -5.20, 17.50])==243"
baseline,deepseek-coder:1.3b,20260725T114302Z,428,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,435,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,443,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,447,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,452,fail_assert,False,,1,"assert loss_amount(1500,1200)==0"
baseline,deepseek-coder:1.3b,20260725T114302Z,455,fail_assert,False,,1,assert check_monthnumb_number(2)==False
baseline,deepseek-coder:1.3b,20260725T114302Z,459,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,463,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,562,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,563,fail_assert,False,,1,"assert extract_values('""Python"", ""PHP"", ""Java""')==['Python', 'PHP', 'Java']"
baseline,deepseek-coder:1.3b,20260725T114302Z,577,fail_assert,False,,1,assert last_Digit_Factorial(21) == 0
baseline,deepseek-coder:1.3b,20260725T114302Z,581,fail_assert,False,,1,"assert surface_Area(3,4) == 33"
baseline,deepseek-coder:1.3b,20260725T114302Z,582,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,594,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,605,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,617,fail_assert,False,,1,"assert min_Jumps((3,4),11)==3.5"
baseline,deepseek-coder:1.3b,20260725T114302Z,620,fail_assert,False,,1,"assert largest_subset([ 1, 3, 6, 13, 17, 18 ]) == 4"
baseline,deepseek-coder:1.3b,20260725T114302Z,631,fail_assert,False,,1,assert replace_spaces('Jumanji The Jungle') == 'Jumanji_The_Jungle'
baseline,deepseek-coder:1.3b,20260725T114302Z,644,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,730,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,744,fail_assert,False,,1,"assert check_none((7, 8, 9, 11, 14)) == False"
baseline,deepseek-coder:1.3b,20260725T114302Z,748,fail_assert,False,,1,"assert capital_words_spaces(""PythonProgrammingExamples"") == 'Python Programming Examples'"
baseline,deepseek-coder:1.3b,20260725T114302Z,751,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,772,fail_assert,False,,1,"assert remove_length('The person is most value tet', 3) == 'person is most value'"
baseline,deepseek-coder:1.3b,20260725T114302Z,787,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,798,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,3,fail_assert,False,,1,assert is_not_prime(2) == False
baseline,deepseek-coder:1.3b,20260725T115130Z,4,error_runtime,False,,1,"assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]"
baseline,deepseek-coder:1.3b,20260725T115130Z,92,fail_assert,False,,1,assert is_undulating(1212121) == True
baseline,deepseek-coder:1.3b,20260725T115130Z,106,error_runtime,False,,1,"assert add_lists([5, 6, 7], (9, 10)) == (9, 10, 5, 6, 7)"
baseline,deepseek-coder:1.3b,20260725T115130Z,111,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,119,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,131,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,135,fail_assert,False,,1,assert hexagonal_num(10) == 190
baseline,deepseek-coder:1.3b,20260725T115130Z,141,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,223,error_runtime,False,,1,"assert is_majority([1, 1, 2, 2], 5, 1) == False"
baseline,deepseek-coder:1.3b,20260725T115130Z,224,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,252,fail_assert,False,,1,"assert convert(1) == (1.0, 0.0)"
baseline,deepseek-coder:1.3b,20260725T115130Z,256,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,272,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,277,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,281,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,295,fail_assert,False,,1,assert sum_div(8)==7
baseline,deepseek-coder:1.3b,20260725T115130Z,307,error_runtime,False,,1,"assert colon_tuplex((""HELLO"", 5, [], True) ,2,50)==(""HELLO"", 5, [50], True)"
baseline,deepseek-coder:1.3b,20260725T115130Z,308,fail_assert,False,,1,"assert large_product([1, 2, 3, 4, 5, 6],[3, 6, 8, 9, 10, 6],3)==[60, 54, 50]"
baseline,deepseek-coder:1.3b,20260725T115130Z,398,error_runtime,False,,1,"assert sum_of_digits([[10,20,4,5,'b',70,'a']])==19"
baseline,deepseek-coder:1.3b,20260725T115130Z,413,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,414,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,415,fail_assert,False,,1,"assert max_Product([1,2,3,4,7,0,8,4]) == (7,8)"
baseline,deepseek-coder:1.3b,20260725T115130Z,419,fail_assert,False,,1,"assert round_and_sum([22.4, 4.0, -16.22, -9.10, 11.00, -12.22, 14.20, -5.20, 17.50])==243"
baseline,deepseek-coder:1.3b,20260725T115130Z,428,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,435,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,443,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,447,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,452,fail_assert,False,,1,"assert loss_amount(1500,1200)==0"
baseline,deepseek-coder:1.3b,20260725T115130Z,455,fail_assert,False,,1,assert check_monthnumb_number(2)==False
baseline,deepseek-coder:1.3b,20260725T115130Z,459,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,463,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,562,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,563,fail_assert,False,,1,"assert extract_values('""Python"", ""PHP"", ""Java""')==['Python', 'PHP', 'Java']"
baseline,deepseek-coder:1.3b,20260725T115130Z,577,fail_assert,False,,1,assert last_Digit_Factorial(21) == 0
baseline,deepseek-coder:1.3b,20260725T115130Z,581,fail_assert,False,,1,"assert surface_Area(3,4) == 33"
baseline,deepseek-coder:1.3b,20260725T115130Z,582,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,594,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,605,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,617,fail_assert,False,,1,"assert min_Jumps((3,4),11)==3.5"
baseline,deepseek-coder:1.3b,20260725T115130Z,620,fail_assert,False,,1,"assert largest_subset([ 1, 3, 6, 13, 17, 18 ]) == 4"
baseline,deepseek-coder:1.3b,20260725T115130Z,631,fail_assert,False,,1,assert replace_spaces('Jumanji The Jungle') == 'Jumanji_The_Jungle'
baseline,deepseek-coder:1.3b,20260725T115130Z,644,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,730,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,744,fail_assert,False,,1,"assert check_none((7, 8, 9, 11, 14)) == False"
baseline,deepseek-coder:1.3b,20260725T115130Z,748,fail_assert,False,,1,"assert capital_words_spaces(""PythonProgrammingExamples"") == 'Python Programming Examples'"
baseline,deepseek-coder:1.3b,20260725T115130Z,751,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,772,fail_assert,False,,1,"assert remove_length('The person is most value tet', 3) == 'person is most value'"
baseline,deepseek-coder:1.3b,20260725T115130Z,787,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,798,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,3,fail_assert,False,,1,assert is_not_prime(2) == False
baseline,deepseek-coder:1.3b,20260725T231225Z,4,error_runtime,False,,1,"assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]"
baseline,deepseek-coder:1.3b,20260725T231225Z,92,fail_assert,False,,1,assert is_undulating(1212121) == True
baseline,deepseek-coder:1.3b,20260725T231225Z,106,error_runtime,False,,1,"assert add_lists([5, 6, 7], (9, 10)) == (9, 10, 5, 6, 7)"
baseline,deepseek-coder:1.3b,20260725T231225Z,111,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,119,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,131,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,135,fail_assert,False,,1,assert hexagonal_num(10) == 190
baseline,deepseek-coder:1.3b,20260725T231225Z,141,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,223,error_runtime,False,,1,"assert is_majority([1, 1, 2, 2], 5, 1) == False"
baseline,deepseek-coder:1.3b,20260725T231225Z,224,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,252,fail_assert,False,,1,"assert convert(1) == (1.0, 0.0)"
baseline,deepseek-coder:1.3b,20260725T231225Z,256,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,272,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,277,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,281,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,295,fail_assert,False,,1,assert sum_div(8)==7
baseline,deepseek-coder:1.3b,20260725T231225Z,307,error_runtime,False,,1,"assert colon_tuplex((""HELLO"", 5, [], True) ,2,50)==(""HELLO"", 5, [50], True)"
baseline,deepseek-coder:1.3b,20260725T231225Z,308,fail_assert,False,,1,"assert large_product([1, 2, 3, 4, 5, 6],[3, 6, 8, 9, 10, 6],3)==[60, 54, 50]"
baseline,deepseek-coder:1.3b,20260725T231225Z,398,error_runtime,False,,1,"assert sum_of_digits([[10,20,4,5,'b',70,'a']])==19"
baseline,deepseek-coder:1.3b,20260725T231225Z,413,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,414,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,415,fail_assert,False,,1,"assert max_Product([1,2,3,4,7,0,8,4]) == (7,8)"
baseline,deepseek-coder:1.3b,20260725T231225Z,419,fail_assert,False,,1,"assert round_and_sum([22.4, 4.0, -16.22, -9.10, 11.00, -12.22, 14.20, -5.20, 17.50])==243"
baseline,deepseek-coder:1.3b,20260725T231225Z,428,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,435,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,443,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,447,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,452,fail_assert,False,,1,"assert loss_amount(1500,1200)==0"
baseline,deepseek-coder:1.3b,20260725T231225Z,455,fail_assert,False,,1,assert check_monthnumb_number(2)==False
baseline,deepseek-coder:1.3b,20260725T231225Z,459,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,463,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,562,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,563,fail_assert,False,,1,"assert extract_values('""Python"", ""PHP"", ""Java""')==['Python', 'PHP', 'Java']"
baseline,deepseek-coder:1.3b,20260725T231225Z,577,fail_assert,False,,1,assert last_Digit_Factorial(21) == 0
baseline,deepseek-coder:1.3b,20260725T231225Z,581,fail_assert,False,,1,"assert surface_Area(3,4) == 33"
baseline,deepseek-coder:1.3b,20260725T231225Z,582,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,594,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,605,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,617,fail_assert,False,,1,"assert min_Jumps((3,4),11)==3.5"
baseline,deepseek-coder:1.3b,20260725T231225Z,620,fail_assert,False,,1,"assert largest_subset([ 1, 3, 6, 13, 17, 18 ]) == 4"
baseline,deepseek-coder:1.3b,20260725T231225Z,631,fail_assert,False,,1,assert replace_spaces('Jumanji The Jungle') == 'Jumanji_The_Jungle'
baseline,deepseek-coder:1.3b,20260725T231225Z,644,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,730,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,744,fail_assert,False,,1,"assert check_none((7, 8, 9, 11, 14)) == False"
baseline,deepseek-coder:1.3b,20260725T231225Z,748,fail_assert,False,,1,"assert capital_words_spaces(""PythonProgrammingExamples"") == 'Python Programming Examples'"
baseline,deepseek-coder:1.3b,20260725T231225Z,751,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,772,fail_assert,False,,1,"assert remove_length('The person is most value tet', 3) == 'person is most value'"
baseline,deepseek-coder:1.3b,20260725T231225Z,787,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T231225Z,798,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T232517Z,3,fail_assert,False,,1,assert is_not_prime(2) == False
baseline,deepseek-coder:1.3b,20260725T232517Z,6,fail_assert,False,,1,"assert differ_At_One_Bit_Pos(13,9) == True"
baseline,deepseek-coder:1.3b,20260725T233907Z,3,fail_assert,False,,1,assert is_not_prime(2) == False
baseline,deepseek-coder:1.3b,20260725T233907Z,6,fail_assert,False,,1,"assert differ_At_One_Bit_Pos(13,9) == True"
baseline,deepseek-coder:1.3b,20260725T233907Z,8,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,11,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,16,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,18,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,57,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,59,fail_assert,False,,1,assert is_octagonal(5) == 65
baseline,deepseek-coder:1.3b,20260725T233907Z,79,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,86,fail_assert,False,,1,assert centered_hexagonal_number(10) == 271
baseline,deepseek-coder:1.3b,20260725T233907Z,88,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,90,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,92,fail_assert,False,,1,assert is_undulating(1212121) == True
baseline,deepseek-coder:1.3b,20260725T233907Z,93,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,97,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,99,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,105,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,106,error_runtime,False,,1,"assert add_lists([5, 6, 7], (9, 10)) == (9, 10, 5, 6, 7)"
baseline,deepseek-coder:1.3b,20260725T233907Z,109,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,111,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,113,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,116,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,119,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,125,fail_assert,False,,1,"assert find_length(""11000010001"") == 6"
baseline,deepseek-coder:1.3b,20260725T233907Z,133,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,135,fail_assert,False,,1,assert hexagonal_num(10) == 190
baseline,deepseek-coder:1.3b,20260725T233907Z,137,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,139,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,140,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,141,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,142,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,145,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,162,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,163,fail_assert,False,,1,"assert math.isclose(area_polygon(4, 20), 400., rel_tol=0.001)"
baseline,deepseek-coder:1.3b,20260725T233907Z,166,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,167,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,168,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,222,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,226,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,232,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,235,fail_assert,False,,1,assert even_bit_set_number(10) == 10
baseline,deepseek-coder:1.3b,20260725T233907Z,237,fail_assert,False,,1,"assert check_occurences([(3, 1), (1, 3), (2, 5), (5, 2), (6, 3)] ) == {(1, 3): 2, (2, 5): 2, (3, 6): 1}"
baseline,deepseek-coder:1.3b,20260725T233907Z,239,fail_assert,False,,1,"assert get_total_number_of_sequences(10, 4) == 4"
baseline,deepseek-coder:1.3b,20260725T233907Z,248,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,252,fail_assert,False,,1,"assert convert(1) == (1.0, 0.0)"
baseline,deepseek-coder:1.3b,20260725T233907Z,257,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,261,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,262,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,267,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,270,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,271,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,272,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,277,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,283,fail_assert,False,,1,assert validate(1234) == True
baseline,deepseek-coder:1.3b,20260725T233907Z,285,fail_assert,False,,1,"assert text_match_two_three(""abbbba"")==(True)"
baseline,deepseek-coder:1.3b,20260725T233907Z,292,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,295,fail_assert,False,,1,assert sum_div(8)==7
baseline,deepseek-coder:1.3b,20260725T233907Z,306,fail_assert,False,,1,"assert max_sum_increasing_subseq([1, 101, 2, 3, 100, 4, 5 ], 7, 4, 6) == 11"
baseline,deepseek-coder:1.3b,20260725T233907Z,309,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,310,fail_assert,False,,1,"assert string_to_tuple(""python 3.0"")==('p', 'y', 't', 'h', 'o', 'n', '3', '.', '0')"
baseline,deepseek-coder:1.3b,20260725T233907Z,312,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,392,error_runtime,False,,1,assert get_max_sum(60) == 106
baseline,deepseek-coder:1.3b,20260725T233907Z,398,error_runtime,False,,1,"assert sum_of_digits([[10,20,4,5,'b',70,'a']])==19"
baseline,deepseek-coder:1.3b,20260725T233907Z,399,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,401,fail_assert,False,,1,"assert add_nested_tuples(((1, 3), (4, 5), (2, 9), (1, 10)), ((6, 7), (3, 9), (1, 1), (7, 3))) == ((7, 10), (7, 14), (3, 10), (8, 13))"
baseline,deepseek-coder:1.3b,20260725T233907Z,405,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,408,fail_assert,False,,1,"assert k_smallest_pairs([1,3,7],[2,4,6],2)==[[1, 2], [1, 4]]"
baseline,deepseek-coder:1.3b,20260725T233907Z,410,error_runtime,False,,1,"assert min_val(['Python', 3, 2, 4, 5, 'version'])==2"
baseline,deepseek-coder:1.3b,20260725T233907Z,412,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,414,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,417,error_runtime,False,,1,"assert group_tuples([('x', 'y'), ('x', 'z'), ('w', 't')]) == [('x', 'y', 'z'), ('w', 't')]"
baseline,deepseek-coder:1.3b,20260725T233907Z,418,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,419,fail_assert,False,,1,"assert round_and_sum([22.4, 4.0, -16.22, -9.10, 11.00, -12.22, 14.20, -5.20, 17.50])==243"
baseline,deepseek-coder:1.3b,20260725T233907Z,420,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,422,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,429,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,430,fail_assert,False,,1,"assert parabola_directrix(5,3,2)==-198"
baseline,deepseek-coder:1.3b,20260725T233907Z,431,fail_assert,False,,1,"assert common_element([1,2,3,4,5], [6,7,8,9])==None"
baseline,deepseek-coder:1.3b,20260725T233907Z,435,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,439,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,447,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,453,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,454,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,455,fail_assert,False,,1,assert check_monthnumb_number(2)==False
baseline,deepseek-coder:1.3b,20260725T233907Z,457,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,458,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,461,fail_assert,False,,1,assert upper_ctr('PYthon') == 1
baseline,deepseek-coder:1.3b,20260725T233907Z,465,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,474,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,477,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,557,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,560,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,563,fail_assert,False,,1,"assert extract_values('""Python"", ""PHP"", ""Java""')==['Python', 'PHP', 'Java']"
baseline,deepseek-coder:1.3b,20260725T233907Z,564,error_runtime,False,,1,"assert count_Pairs([1,2,1],3) == 2"
baseline,deepseek-coder:1.3b,20260725T233907Z,567,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,568,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,579,fail_assert,False,,1,"assert find_dissimilar((21, 11, 25, 26), (26, 34, 21, 36)) == (34, 36, 11, 25)"
baseline,deepseek-coder:1.3b,20260725T233907Z,580,fail_assert,False,,1,"assert extract_even((4, 5, (7, 6, (2, 4)), 6, 8)) == (4, (6, (2, 4)), 6, 8)"
baseline,deepseek-coder:1.3b,20260725T233907Z,581,fail_assert,False,,1,"assert surface_Area(3,4) == 33"
baseline,deepseek-coder:1.3b,20260725T233907Z,586,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,589,fail_assert,False,,1,"assert perfect_squares(50,100)==[64, 81, 100]"
baseline,deepseek-coder:1.3b,20260725T233907Z,590,error_runtime,False,,1,"assert polar_rect(3,4)==((5.0, 0.9272952180016122), (-2+2.4492935982947064e-16j))"
baseline,deepseek-coder:1.3b,20260725T233907Z,591,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,592,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,596,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,600,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,602,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,604,fail_assert,False,,1,"assert reverse_words(""python program"")==(""program python"")"
baseline,deepseek-coder:1.3b,20260725T233907Z,606,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,607,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,617,fail_assert,False,,1,"assert min_Jumps((3,4),11)==3.5"
baseline,deepseek-coder:1.3b,20260725T233907Z,618,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T233907Z,622,fail_assert,False,,1,"assert get_median([1, 12, 15, 26, 38], [2, 13, 17, 30, 45], 5) == 16.0"
baseline,deepseek-coder:1.3b,20260725T233907Z,627,fail_assert,False,,1,"assert find_First_Missing([2,3,5,8,9]) == 0"
baseline,deepseek-coder:1.3b,20260725T233907Z,631,fail_assert,False,,1,assert replace_spaces('Jumanji The Jungle') == 'Jumanji_The_Jungle'
baseline,deepseek-coder:1.3b,20260725T233907Z,638,pass,True,1,1,
